full_name,hits,homeruns,rbi,runs,stolen_bases,walks,strikeouts,games_played,at_bats,batting_average,on_base_plus_slugging
Tony Walker,20,2,10,19,11,11,15.0,84,90,0.222,0.674
Tony Watson,1,0,0,0,0,0,7.0,668,8,0.0333,0.0666
Tony Wolters,259,7,123,131,6,127,254.0,407,1103,0.18371428571428572,0.506
Tony Womack,1353,36,368,739,363,308,649.0,1303,4963,0.2646923076923077,0.663923076923077
Tony Zych,0,0,0,0,0,0,0.0,45,0,0.0,0.0
Torey Lovullo,165,15,60,80,9,80,121.0,303,737,0.223375,0.6441250000000001
Torii Hunter,2452,353,1391,1296,195,661,1741.0,2372,8857,0.25989473684210523,0.7388947368421054
Touki Toussaint,1,0,0,2,0,2,21.0,43,34,0.03333333333333333,0.106
Trace Coquillette,25,1,12,8,1,11,26.0,51,108,0.234,0.633
Tracy Jones,356,27,164,173,62,100,140.0,493,1303,0.2793333333333333,0.7261666666666667
Tracy Woodson,125,5,50,42,2,20,78.0,215,506,0.1984,0.48119999999999996
Travis Bergen,0,0,0,0,0,0,0.0,31,0,0.0,0.0
Travis Blackley,1,0,0,0,0,0,3.0,72,5,0.111,0.222
Travis Blankenhorn,14,2,10,8,0,8,24.0,49,91,0.15940000000000001,0.5276000000000001
Travis Buck,197,20,95,99,8,78,186.0,253,810,0.224,0.6578333333333334
Travis Chapman,0,0,0,0,0,0,0.0,1,1,0.0,0.0
Travis Demeritte,62,6,20,38,3,23,109.0,92,287,0.20333333333333334,0.5686666666666667
Travis Denker,9,1,3,6,0,5,10.0,24,37,0.243,0.819
Travis Driskill,0,0,0,1,0,1,4.0,57,5,0.0,0.05
Travis Fryman,1776,223,1022,895,72,602,1369.0,1698,6481,0.2726923076923077,0.7718461538461538
